ID,Partner Name,,Region,Logo,FI Type
618788,BBSB,,Europe and Central Asia,,MFI
618847,Bank of Banks,,East Asia and the Pacific,,MFI
619065,ABN MF Bank,,Sub-Saharan Africa,,MFI
619067,ProCredit Lease,,Europe and Central Asia,,SME
619342,Banco Regional,,Latin America and the Caribbean,,SME
619487,BoP,,Middle East and North Africa,,SME
620465,FGB,,Latin America and the Caribbean,,SME
620826,SBDFT,,Latin America and the Caribbean,,MFI
620953,BBVA Paraguay,,Latin America and the Caribbean,,SME
621149,ATF Bank,,Europe and Central Asia,,SME
621288,Megabank,,Europe and Central Asia,,SME
621304,NLB Montenegro,,Europe and Central Asia,,SME
621859,DenizBank AS,,Europe and Central Asia,,MFI
621889,HSBC Armenia,,Europe and Central Asia,,Non-MSME
621953,Bandhan,,South Asia,,MFI
622152,Apoyo Integral,,Latin America and the Caribbean,,MFI
622989,Tajik Access,,Europe and Central Asia,,MFI
624131,CEAPE-MA,,Latin America and the Caribbean,,MFI
624264,UniCredit Bosnia,,Europe and Central Asia,,SME
624987,Chola,,South Asia,,SME
625344,BVTB,,East Asia and the Pacific,,MFI
625509,Faulu Kenya,,Sub-Saharan Africa,,MFI
625553,DTB Burundi,,Sub-Saharan Africa,,SME
626664,BOA - Kenya,,Sub-Saharan Africa,,SME
626665,BOA - Tanzania,,Sub-Saharan Africa,,SME
626666,BOA - Uganda,,Sub-Saharan Africa,,SME
627165,Nirdhan MFB,,South Asia,,MFI
627808,Cacanska Banka,,Europe and Central Asia,,SME
627809,Komercijalna BG,,Europe and Central Asia,,Non-MSME
628195,Nuestra Gente,,Latin America and the Caribbean,,MFI
628524,Exim India,,South Asia,,SME
628615,St.LouisFinances,,Sub-Saharan Africa,,MFI
629306,PC Bank Moldova,,Europe and Central Asia,,MFI
629546,Ohridska Banka,,Europe and Central Asia,,SME
629865,XacLeasing,,East Asia and the Pacific,,SME
630227,EB-Accion CMR,,Sub-Saharan Africa,,MFI
630565,EB-ACCION,,Sub-Saharan Africa,,MFI
630585,TransCapitalBank,,Europe and Central Asia,,SME
630588,FactorRus,,Europe and Central Asia,,SME
630613,BTPN,,East Asia and the Pacific,,MFI
631193,Acleda Lao,,East Asia and the Pacific,,MFI
631238,NRSP MFB,,Middle East and North Africa,,MFI
631307,WCAP Holdings,,Latin America and the Caribbean,,SME
631588,Bancamia,,Latin America and the Caribbean,,MFI
631849,Eximbank Moldova,,Europe and Central Asia,,SME
631886,Access Zambia,,Sub-Saharan Africa,,MFI
631945,Advans CI,,Sub-Saharan Africa,,MFI
631989,DFCU Bank,,Sub-Saharan Africa,,SME
631996,Kompanion,,Europe and Central Asia,,MFI
632265,Turan Bank,,Europe and Central Asia,,SME
632376,UniCredit Kyrgyz,,Europe and Central Asia,,MFI
632532,Ameriabank,,Europe and Central Asia,,SME
633304,Banco Improsa,,Latin America and the Caribbean,,SME
633984,ZANACO,,Sub-Saharan Africa,,SME
636752,Finca Kyrgyzstan,,Europe and Central Asia,,MFI
636753,Finca Azerbaijan,,Europe and Central Asia,,MFI
636845,Belnarodny,,Europe and Central Asia,,SME
637348,Fedecredito,,Latin America and the Caribbean,,MFI
637767,Sanasa,,South Asia,,MFI
638365,AU Financiers,,South Asia,,SME
638667,Belstar,,South Asia,,MFI
639029,CIMB Niaga,,East Asia and the Pacific,,Non-MSME
639969,TEB Kosovo,,Europe and Central Asia,,SME
640001,FM Bank,,Europe and Central Asia,,MFI
640274,OJSC MDM Bank,,Europe and Central Asia,,SME
640593,BI Brasil,,Latin America and the Caribbean,,SME
641253,Mifel,,Latin America and the Caribbean,,SME
641486,Utkarsh,,South Asia,,MFI
642528,CFPA MF,,East Asia and the Pacific,,MFI
645226,CB Otkritie,,Europe and Central Asia,,SME
645690,UOB Rwanda,,Sub-Saharan Africa,,MFI
645909,Mercantile (SA),,Sub-Saharan Africa,,MFI
649369,Aadhar,,South Asia,,Non-MSME
651125,MC Nigeria Co,,Sub-Saharan Africa,,MFI
651864,SocGen Serbia,,Europe and Central Asia,,SME
652130,Sudameris Bank,,Latin America and the Caribbean,,Non-MSME
653044,Lok Capital II,,South Asia,,MFI
653166,YES BANK LTD,,South Asia,,SME
656226,Shenzhen VTB,,East Asia and the Pacific,,MFI
656364,Tamweelcom,,Middle East and North Africa,,MFI
656475,BBVA Panama,,Latin America and the Caribbean,,SME
656659,Orient Express,,Europe and Central Asia,,SME
661986,Metcombank,,Europe and Central Asia,,SME
662064,EFGSerbia,,Europe and Central Asia,,SME
663167,OCB Vietnam,,East Asia and the Pacific,,SME
666084,Euroleasing-UA,,Europe and Central Asia,,SME
668592,FATEN,,Middle East and North Africa,,MFI
670364,PTC Financial,,South Asia,,Non-MSME
671328,WCAP Finance,,Latin America and the Caribbean,,SME
671987,UT Bank Ghana,,Sub-Saharan Africa,,SME
672024,TMB Bank PCL,,East Asia and the Pacific,,SME
673127,KCB R,,Sub-Saharan Africa,,SME
673944,Coopenae,,Latin America and the Caribbean,,SME
674324,Xinjiang MCC,,East Asia and the Pacific,,MFI
676905,Garanti Bank Ro,,Europe and Central Asia,,SME
679984,MagmaFincorp,,South Asia,,SME
686586,Credit Europe RU,,Europe and Central Asia,,SME
689164,Arnur Credit,,Europe and Central Asia,,MFI
695986,Fibabanka,,Europe and Central Asia,,SME
696913,Financiera Crear,,Latin America and the Caribbean,,MFI
727524,Prasac,,East Asia and the Pacific,,MFI
735985,Fullerton CQ,,East Asia and the Pacific,,Non-MSME
735986,Fullerton HB,,East Asia and the Pacific,,Non-MSME
749006,Alios Tanzania,,Sub-Saharan Africa,,SME
519235,EDYFICAR,,Latin America and the Caribbean,,MFI
628502,Multi Housing Finance Savings and Credit Institutions,,Latin America and the Caribbean,,Non-MSME
651180,"ODEF Financiera, S.A",,Latin America and the Caribbean,,MFI
660486,AMC El Salvador,,Latin America and the Caribbean,,MFI
507239,JNBS,,Latin America and the Caribbean,,MFI
508269,Atlantic Bank of New York,,Latin America and the Caribbean,,SME
739704,China Banking Corporation,,East Asia and the Pacific,,SME
671464,Banque de Credit de Bujumbura S.M,,Sub-Saharan Africa,,SME
645286,Clean Energy Development Bank Ltd.,,South Asia,,SME
632744,FWWBI,,South Asia,,MFI
653744,Swadhaar FinServe Pvt. Ltd.,,South Asia,,SME
647144,LOLC Micro Credit Limited,,South Asia,,MFI
52247,Nations Trust,,South Asia,,SME
52573,United Leasing,,South Asia,,Non-MSME
639970,Maanaveeya Holdings & Investments Private Limited,,South Asia,,SME
655612,Union Bank ltd,,South Asia,,SME
632487,Janalakshmi Financial Services Limited,,South Asia,,Non-MSME
632433,Grameen Koota-Micro Finance Institution,,South Asia,,Non-MSME
733856,Micro Energy Credit,,South Asia,,SME
735525,Dia Vikas,,South Asia,,MFI
720204,AP Coop Bank ,,South Asia,,SME
690195,"LLC Microlending Organization ""Humo & Partners""",,Europe and Central Asia,,MFI
568237,Credins Bank,,Europe and Central Asia,,SME
647544,Fondibesa ,,Europe and Central Asia,,SME
719027,Banka Societe Generale Albania,,Europe and Central Asia,,SME
52650,SEF TSB,,Europe and Central Asia,,SME
661798,Arvand MDO,,Europe and Central Asia,,SME
670985,"Joint-stock commercial credit-insurance bank "" KS BANK""",,Europe and Central Asia,,SME
735406,MCC Bai Tushum CJSC,,Europe and Central Asia,,Non-MSME
622006,"Constanta, Jsc",,Europe and Central Asia,,SME
653766,Credit Moscow bank,,Europe and Central Asia,,SME
705324,ElipsBank,,Europe and Central Asia,,SME
744608,BNK,,Europe and Central Asia,,SME
689684,Energbank,,Europe and Central Asia,,SME
